"","subject_name","stim_type","task_type","resp_category","resp_confidence","resp_correct","stim_orientation","stim_reliability","stim_category","stim_phase","block_number","stim_frequency","stim_reliability_level","cat1_evidence","cat2_evidence","evi_cat2","evi_allcat","visual_mostevidence","r"
"1",1,"grate","Task B ",2,2,1,-0.780708440892859,0.135,2,112.6457452,0,0,4,0.00965323496913226,0.0282185097148072,0.745107201960358,0.745107201960358,0,6
"2",1,"grate","Task B ",1,4,1,-0.179783757927335,0.135,1,234.0149921,0,0,4,0.115431916509833,0.0329524256052031,0.222074816894471,0.777925183105529,0,1
"3",1,"grate","Task B ",1,3,1,0.559039860454677,0.05,1,289.848422,0,0,2,0.0352343553349841,0.0305968991260548,0.46477770136012,0.53522229863988,0,2
"4",1,"grate","Task B ",1,1,0,-1.01291434273192,0.033,2,119.3076894,0,0,1,0.00161649637239496,0.0252364312374858,0.939801857142751,0.939801857142751,0,4
"5",1,"grate","Task B ",2,4,1,1.81559370457924,0.135,2,40.56981637,0,0,4,1.0206765909121e-07,0.0137894685519838,0.999992598198892,0.999992598198892,0,8
"6",1,"grate","Task B ",1,2,0,1.43775031072645,0.033,2,153.8716083,0,0,1,1.95641692129816e-05,0.0191517452926999,0.99897950793336,0.99897950793336,0,3
"7",2,"grate","Task B ",1,1,1,0.392355713250167,0.05,1,8.335031625,0,0,2,0.0692693700317692,0.0319172780084347,0.315429739265137,0.684570260734863,0,4
"8",2,"grate","Task B ",1,1,0,-1.21269123530331,0.067,2,228.5483699,0,0,3,0.000240112031466202,0.0224010249216791,0.989394877476202,0.989394877476202,0,4
"9",2,"grate","Task B ",2,2,0,0.227748972227028,0.067,1,331.532549,0,0,3,0.106922682629693,0.0327950943345665,0.234723848654961,0.765276151345039,0,6
"10",2,"grate","Task B ",1,1,0,-0.438036906674937,0.033,2,169.7985379,0,0,1,0.0580398519802996,0.0315663896152337,0.352278915543839,0.647721084456161,0,4
"11",2,"grate","Task B ",2,2,1,0.817309633371165,0.05,2,292.6490698,0,0,2,0.0077273776375574,0.0278287710375374,0.782671129312438,0.782671129312438,0,6
"12",2,"grate","Task B ",1,2,1,-0.626251042446863,0.067,1,26.4886867,0,0,3,0.0245400907629362,0.0299129523642078,0.549334814848881,0.549334814848881,0,3
"13",3,"grate","Task B ",1,3,1,-0.173405715105091,0.067,1,181.8665399,0,0,3,0.116563441577279,0.0329725219986739,0.220498943599788,0.779501056400212,0,2
"14",3,"grate","Task B ",2,1,1,-1.05989764889979,0.033,2,278.2519724,0,0,1,0.00106452424527381,0.0245860772249011,0.958499053267364,0.958499053267364,0,5
"15",3,"grate","Task B ",2,4,1,0.437369662758875,0.067,2,279.7888161,0,0,3,0.0590802534054489,0.0316014613285501,0.348487690393241,0.651512309606759,0,8
"16",3,"grate","Task B ",2,4,1,-0.730787094166393,0.067,2,22.0861006,0,0,3,0.01334562331663,0.0287955712139297,0.68331169855776,0.68331169855776,0,8
"17",3,"grate","Task B ",1,3,0,0.190683284483926,0.135,2,99.93678113,0,0,4,0.114189036202859,0.0329301375322139,0.223833078287357,0.776166921712643,0,2
"18",3,"grate","Task B ",2,1,1,1.45163737732036,0.05,2,193.4807462,0,0,2,1.64803262899451e-05,0.0189475203400428,0.999130967849036,0.999130967849036,0,5
